experiment_id,date,dataset,embedding_model,embedding_dimension,chunker,chunk_size,overlap,retriever,similarity_metric,k,precision,recall,mrr,map,index_time_s,query_time_ms
exp_20260701_193542,2026-07-01T19:35:42,SciFact,BAAI/bge-base-en-v1.5,768,IdentityChunker,,,FAISSRetriever,L2,1,0.61,0.5809444444444445,0.7003664021164022,0.5809444444444445,106.02384558399353,10.911700160359032
exp_20260701_193542,2026-07-01T19:35:42,SciFact,BAAI/bge-base-en-v1.5,768,IdentityChunker,,,FAISSRetriever,L2,3,0.2811111111111107,0.7695000000000001,0.7003664021164022,0.6702407407407409,106.02384558399353,10.911700160359032
exp_20260701_193542,2026-07-01T19:35:42,SciFact,BAAI/bge-base-en-v1.5,768,IdentityChunker,,,FAISSRetriever,L2,5,0.183333333333334,0.8209444444444445,0.7003664021164022,0.684040740740741,106.02384558399353,10.911700160359032
exp_20260701_193542,2026-07-01T19:35:42,SciFact,BAAI/bge-base-en-v1.5,768,IdentityChunker,,,FAISSRetriever,L2,10,0.09800000000000039,0.8658888888888888,0.7003664021164022,0.6918490740740744,106.02384558399353,10.911700160359032
exp_20260701_193542,2026-07-01T19:35:42,SciFact,BAAI/bge-base-en-v1.5,768,IdentityChunker,,,FAISSRetriever,L2,20,0.049000000000000196,0.8658888888888888,0.7003664021164022,0.6918490740740744,106.02384558399353,10.911700160359032
exp_20260701_204942,2026-07-01T20:49:42,SciFact,BAAI/bge-base-en-v1.5,768,IdentityChunker,,,FAISSRetriever,L2,1,0.61,0.5809444444444445,0.7003664021164022,0.5809444444444445,107.89490891700552,13.05717030998494
exp_20260701_204942,2026-07-01T20:49:42,SciFact,BAAI/bge-base-en-v1.5,768,IdentityChunker,,,FAISSRetriever,L2,3,0.2811111111111107,0.7695000000000001,0.7003664021164022,0.6702407407407409,107.89490891700552,13.05717030998494
exp_20260701_204942,2026-07-01T20:49:42,SciFact,BAAI/bge-base-en-v1.5,768,IdentityChunker,,,FAISSRetriever,L2,5,0.183333333333334,0.8209444444444445,0.7003664021164022,0.684040740740741,107.89490891700552,13.05717030998494
exp_20260701_204942,2026-07-01T20:49:42,SciFact,BAAI/bge-base-en-v1.5,768,IdentityChunker,,,FAISSRetriever,L2,10,0.09800000000000039,0.8658888888888888,0.7003664021164022,0.6918490740740744,107.89490891700552,13.05717030998494
exp_20260701_204942,2026-07-01T20:49:42,SciFact,BAAI/bge-base-en-v1.5,768,IdentityChunker,,,FAISSRetriever,L2,20,0.049000000000000196,0.8658888888888888,0.7003664021164022,0.6918490740740744,107.89490891700552,13.05717030998494
exp_20260701_211430,2026-07-01T21:14:30,SciFact,BAAI/bge-base-en-v1.5,768,IdentityChunker,,,FAISSRetriever,L2,1,0.59,0.5636111111111112,0.6608888888888891,0.5636111111111112,105.31674587499583,13.425670730430284
exp_20260701_211430,2026-07-01T21:14:30,SciFact,BAAI/bge-base-en-v1.5,768,IdentityChunker,,,FAISSRetriever,L2,3,0.25222222222222224,0.6989444444444443,0.6608888888888891,0.6259074074074074,105.31674587499583,13.425670730430284
exp_20260701_211430,2026-07-01T21:14:30,SciFact,BAAI/bge-base-en-v1.5,768,IdentityChunker,,,FAISSRetriever,L2,5,0.1673333333333338,0.7572222222222222,0.6608888888888891,0.642737962962963,105.31674587499583,13.425670730430284
exp_20260701_211430,2026-07-01T21:14:30,SciFact,BAAI/bge-base-en-v1.5,768,IdentityChunker,,,FAISSRetriever,L2,10,0.0836666666666669,0.7572222222222222,0.6608888888888891,0.642737962962963,105.31674587499583,13.425670730430284
exp_20260701_211430,2026-07-01T21:14:30,SciFact,BAAI/bge-base-en-v1.5,768,IdentityChunker,,,FAISSRetriever,L2,20,0.04183333333333345,0.7572222222222222,0.6608888888888891,0.642737962962963,105.31674587499583,13.425670730430284
exp_20260701_212307,2026-07-01T21:23:07,SciFact,BAAI/bge-base-en-v1.5,768,IdentityChunker,,,FAISSRetriever,L2,1,0.59,0.5636111111111112,0.6757300112664937,0.5636111111111112,105.21381937499973,13.572627689742754
exp_20260701_212307,2026-07-01T21:23:07,SciFact,BAAI/bge-base-en-v1.5,768,IdentityChunker,,,FAISSRetriever,L2,3,0.25222222222222224,0.6989444444444443,0.6757300112664937,0.6259074074074074,105.21381937499973,13.572627689742754
exp_20260701_212307,2026-07-01T21:23:07,SciFact,BAAI/bge-base-en-v1.5,768,IdentityChunker,,,FAISSRetriever,L2,5,0.1673333333333338,0.7572222222222222,0.6757300112664937,0.642737962962963,105.21381937499973,13.572627689742754
exp_20260701_212307,2026-07-01T21:23:07,SciFact,BAAI/bge-base-en-v1.5,768,IdentityChunker,,,FAISSRetriever,L2,10,0.09400000000000035,0.8388888888888889,0.6757300112664937,0.6555660052910054,105.21381937499973,13.572627689742754
exp_20260701_212307,2026-07-01T21:23:07,SciFact,BAAI/bge-base-en-v1.5,768,IdentityChunker,,,FAISSRetriever,L2,20,0.05066666666666688,0.8992222222222221,0.6757300112664937,0.6603753605527601,105.21381937499973,13.572627689742754
exp_20260702_091226,2026-07-02T09:12:26,SciFact,BAAI/bge-base-en-v1.5,768,IdentityChunker,,,FAISSRetriever,L2,1,0.59,0.5636111111111112,0.6757300112664937,0.5636111111111112,106.1482398329972,14.42277501594314
exp_20260702_091226,2026-07-02T09:12:26,SciFact,BAAI/bge-base-en-v1.5,768,IdentityChunker,,,FAISSRetriever,L2,3,0.25222222222222224,0.6989444444444443,0.6757300112664937,0.6259074074074074,106.1482398329972,14.42277501594314
exp_20260702_091226,2026-07-02T09:12:26,SciFact,BAAI/bge-base-en-v1.5,768,IdentityChunker,,,FAISSRetriever,L2,5,0.1673333333333338,0.7572222222222222,0.6757300112664937,0.642737962962963,106.1482398329972,14.42277501594314
exp_20260702_091226,2026-07-02T09:12:26,SciFact,BAAI/bge-base-en-v1.5,768,IdentityChunker,,,FAISSRetriever,L2,10,0.09400000000000035,0.8388888888888889,0.6757300112664937,0.6555660052910054,106.1482398329972,14.42277501594314
exp_20260702_091226,2026-07-02T09:12:26,SciFact,BAAI/bge-base-en-v1.5,768,IdentityChunker,,,FAISSRetriever,L2,20,0.05066666666666688,0.8992222222222221,0.6757300112664937,0.6603753605527601,106.1482398329972,14.42277501594314
exp_20260702_092114,2026-07-02T09:21:14,SciFact,BAAI/bge-base-en-v1.5,768,IdentityChunker,,,FAISSRetriever,L2,1,0.59,0.5636111111111112,0.6757300112664937,0.5636111111111112,106.04437249999319,14.433283747542495
exp_20260702_092114,2026-07-02T09:21:14,SciFact,BAAI/bge-base-en-v1.5,768,IdentityChunker,,,FAISSRetriever,L2,3,0.25222222222222224,0.6989444444444443,0.6757300112664937,0.6259074074074074,106.04437249999319,14.433283747542495
exp_20260702_092114,2026-07-02T09:21:14,SciFact,BAAI/bge-base-en-v1.5,768,IdentityChunker,,,FAISSRetriever,L2,5,0.1673333333333338,0.7572222222222222,0.6757300112664937,0.642737962962963,106.04437249999319,14.433283747542495
